username,Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Hentai,Horror,Mahou Shoujo,Mecha,Music,Mystery,Psychological,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Thriller
CreativeUsername39,5.777777777777778,6.2407407407407405,5.173913043478261,6.281879194630872,4.971428571428572,5.857142857142857,,5.03125,6.3125,4.625,6.434782608695652,6.924050632911392,6.080459770114943,5.443181818181818,5.507246376811594,5.923076923076923,6.166666666666667,6.246753246753247,6.461538461538462
hova,7.550704225352112,7.75,7.164864864864866,7.518333333333333,6.800000000000001,7.624999999999999,,7.381818181818181,,8.5,6.166666666666667,7.32258064516129,7.462962962962963,7.278947368421053,7.308333333333334,7.117647058823529,7.85,7.478947368421053,7.4411764705882355
RowX,7.733908045977012,7.6872,7.456497175141242,8.019108280254777,7.205882352941177,7.641911764705883,,7.610526315789474,6.685714285714286,7.878571428571429,7.9125,7.603030303030303,8.074509803921568,7.542424242424242,7.888372093023255,7.709278350515464,7.615384615384616,7.948421052631579,8.015151515151516
Drivmarcos,7.373282442748091,7.245205479452054,7.486153846153845,8.112408759124088,7.136923076923076,7.353389830508474,,7.395652173913044,8.384615384615385,7.945454545454546,7.833333333333333,8.03611111111111,8.153125000000001,7.401503759398496,7.652380952380952,7.951239669421486,7.333333333333333,7.843809523809522,8.206896551724139
Nazarii,0.046875,0.05625,0.0,0.1858407079646017,0.0,0.1118881118881118,,0.7368421052631579,,0.0,0.0,0.175,0.4,0.1,0.0,0.1891891891891892,0.0,0.0804597701149425,1.0
GonzoLewd,6.240361445783134,6.807526881720434,6.671705426356593,6.494463667820069,5.994142259414224,6.52006688963211,7.330136986301373,6.129411764705885,6.9,5.892982456140351,6.227586206896553,6.821186440677966,6.846218487394959,6.333153638814016,6.370588235294117,6.886885245901641,6.36153846153846,6.599065420560746,6.7733333333333325
StupidWeeaboo,6.297241379310344,6.642857142857143,6.612765957446808,6.813658536585363,6.489655172413794,6.264285714285715,2.0,5.94,9.5,7.34375,7.6875,6.923188405797102,6.855128205128206,6.406666666666667,6.442500000000001,6.628571428571429,6.911111111111111,6.298958333333334,6.76969696969697
TheRealKyuubey,5.64468085106383,5.899159663865547,5.513888888888889,6.204918032786885,4.461864406779661,5.8920634920634924,2.7142857142857144,5.653846153846154,5.534883720930233,5.492063492063492,6.571428571428571,6.330935251798561,6.578125,5.48048048048048,5.698181818181818,6.456730769230769,5.16,5.943609022556391,6.516129032258065
Revisionary,7.6,7.938888888888888,7.971428571428571,7.596153846153847,8.0,7.6689655172413795,,7.5,8.0,7.888235294117647,8.275,8.014285714285714,7.875,7.796875,7.82,8.25609756097561,6.833333333333333,7.565789473684211,8.454545454545455
HankMoody79,1.7226086956521738,2.042857142857143,2.6847222222222222,1.023529411764706,2.95,2.1576576576576576,,0.8,0.0,0.0,2.9333333333333336,1.8611111111111112,1.773684210526316,1.8294117647058823,1.012,1.921428571428572,0.0,1.1666666666666667,1.518181818181818
Iryi,7.037698412698413,6.418439716312056,7.45475113122172,6.654676258992805,7.619791666666667,6.560185185185185,0.0,4.625,9.666666666666668,8.90909090909091,6.0,6.102564102564103,6.567567567567568,6.99375,6.297872340425532,6.686666666666666,8.310344827586206,7.445,7.375
Amiki,6.822222222222222,6.594594594594595,6.906976744186046,7.766666666666667,7.625,7.072727272727272,,4.0,8.0,7.933333333333334,7.333333333333333,6.71875,7.871794871794871,7.483870967741935,7.714285714285714,7.191176470588236,7.727272727272727,6.485714285714286,8.428571428571429
Vollerei,7.317391304347824,7.450000000000002,7.953763440860213,8.029936305732484,7.907608695652179,7.448837209302328,,7.307142857142856,6.65,7.999999999999999,8.7875,7.573076923076929,7.428571428571431,8.196703296703298,7.659259259259259,8.246774193548388,5.7,7.810784313725492,7.704166666666666
planetJane,5.801020408163265,5.726190476190476,5.337423312883436,6.533333333333333,5.115384615384615,5.62015503875969,,5.789473684210527,6.232558139534884,5.714285714285714,6.147058823529412,6.693548387096774,6.567164179104478,5.447761194029851,5.33587786259542,5.495238095238095,3.0,6.101123595505618,5.538461538461538
Antimony,6.173913043478261,6.027397260273973,6.09593023255814,6.303030303030303,5.958333333333333,5.947368421052632,1.0,5.0,6.625,6.230769230769231,6.863636363636363,7.14,6.848484848484849,5.831460674157303,6.450704225352113,6.210714285714285,6.125,6.580645161290323,6.631578947368421
AugustPrince,7.413157894736843,7.049152542372882,7.115,8.040579710144929,7.008333333333333,7.255714285714286,,8.091666666666667,,7.416666666666667,9.033333333333331,8.122727272727273,8.2375,7.62,7.1125,8.570588235294117,5.0,8.105,8.522222222222222
Heinzes,6.886781609195403,6.904411764705882,6.910101010101011,7.692899408284023,5.554545454545455,6.7333333333333325,4.8,5.586666666666667,7.7,7.305194805194804,7.797142857142857,7.8307692307692305,7.361111111111112,7.1160919540229886,7.165384615384616,7.125,6.2,7.215189873417721,7.029411764705882
Metafora,7.330508474576272,7.606666666666667,8.343750000000002,7.977777777777779,7.673333333333333,7.382857142857143,,7.4125,,8.154545454545454,8.875,8.121212121212123,8.416279069767445,8.543283582089554,8.63793103448276,8.408163265306126,7.824999999999999,8.376190476190477,8.850000000000001
